well,date,separator_T_C,separator_P_kPa,mass_flow_total_kg_s,steam_mass_flow_kg_s,liquid_mass_flow_kg_s
A-01,2023-01-01,145,250,10.0,1.5,8.5
A-01,2023-02-01,143,248,10.2,1.6,8.6
A-01,2023-03-01,142,247,10.3,1.7,8.6
A-01,2023-04-01,141,245,10.5,1.9,8.6
B-02,2023-01-01,152,255,8.0,2.0,6.0
B-02,2023-02-01,150,252,8.1,2.1,6.0
B-02,2023-03-01,148,250,8.2,2.3,5.9
B-02,2023-04-01,147,248,8.4,2.5,5.9
C-03,2023-01-01,138,240,12.0,1.2,10.8
C-03,2023-02-01,137,238,12.2,1.3,10.9
C-03,2023-03-01,136,237,12.3,1.4,10.9
C-03,2023-04-01,135,235,12.5,1.5,11.0
